dta,rho,beta,num_docs,num_rels,num_shown,num_feedback,rels_found,last_rel,wss_100,wss_95,NCG@10,NCG@20,NCG@30,NCG@40,NCG@50,NCG@60,NCG@70,NCG@80,NCG@90,NCG@100,total_cost,total_cost_uniform,total_cost_weighted,norm_area,ap,r,loss_e,loss_r,loss_er,recall,cost
MapDB,6,1000.0,2740.0,99.0,1883.0,1883.0,94.0,1631.0,0.0,0.355,0.0,0.434,0.646,0.808,0.879,0.929,0.949,0.949,0.949,0.949,5649.0,5735.566,7255.875,0.813,0.126,0.949,0.119,0.003,0.122,0.9494949494949495,0.6872262773722628
android,6,100.0,639.0,48.0,497.0,497.0,43.0,411.0,0.0,0.0,0.25,0.458,0.646,0.771,0.854,0.875,0.896,0.896,0.896,0.896,1491.0,1520.583,1757.25,0.737,0.223,0.896,0.276,0.011,0.287,0.8958333333333334,0.7777777777777778
anttlr4,6,1000.0,2353.0,53.0,1232.0,1232.0,47.0,892.0,0.0,0.0,0.075,0.396,0.698,0.887,0.887,0.887,0.887,0.887,0.887,0.887,3696.0,3949.811,5867.938,0.703,0.047,0.887,0.117,0.013,0.13,0.8867924528301887,0.5235869103272418
broadleaf,6,1000.0,17433.0,686.0,15257.0,15257.0,674.0,15167.0,0.0,0.224,0.334,0.633,0.755,0.834,0.894,0.923,0.943,0.969,0.969,0.969,45771.0,45847.128,50120.875,0.795,0.118,0.983,0.012,0.0,0.013,0.9825072886297376,0.8751792577295933
ceylon,6,1000.0,4512.0,74.0,4512.0,4512.0,74.0,4472.0,0.009,0.097,0.392,0.581,0.676,0.784,0.811,0.878,0.919,0.919,0.973,1.0,13536.0,13536.0,13536.0,0.755,0.069,1.0,0.33,0.0,0.33,1.0,1.0
elasticsearch,6,1000.0,54562.0,3474.0,54562.0,54562.0,3474.0,52264.0,0.042,0.189,0.365,0.548,0.687,0.771,0.841,0.895,0.926,0.959,0.988,1.0,163686.0,163686.0,163686.0,0.779,0.199,1.0,0.001,0.0,0.001,1.0,1.0
hazelcast,6,1000.0,23451.0,1298.0,22472.0,22472.0,1296.0,22338.0,0.0,0.221,0.414,0.586,0.737,0.806,0.864,0.9,0.929,0.968,0.988,0.988,67416.0,67419.017,68395.0,0.797,0.212,0.998,0.005,0.0,0.005,0.9984591679506933,0.9582533793868065
junit,6,1000.0,5432.0,87.0,1372.0,1372.0,47.0,1080.0,0.0,0.0,0.425,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,4116.0,7849.333,12236.0,0.515,0.165,0.54,0.018,0.211,0.23,0.5402298850574713,0.25257731958762886
mcMMO,6,1000.0,1393.0,198.0,1393.0,1393.0,198.0,1328.0,0.047,0.246,0.273,0.46,0.611,0.697,0.818,0.884,0.939,0.97,0.985,1.0,4179.0,4179.0,4179.0,0.77,0.311,1.0,0.113,0.0,0.113,1.0,1.0
mct,6,1000.0,6091.0,23.0,1105.0,1105.0,2.0,2.0,0.0,0.0,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,3315.0,12419.87,13286.99,0.087,0.087,0.087,0.022,0.834,0.855,0.08695652173913043,0.18141520275816778
neo4j,6,1000.0,32156.0,151.0,32156.0,32156.0,151.0,31448.0,0.022,0.121,0.344,0.483,0.589,0.689,0.768,0.815,0.894,0.921,0.98,1.0,96468.0,96468.0,96468.0,0.71,0.028,1.0,0.159,0.0,0.159,1.0,1.0
netty,6,1000.0,11528.0,951.0,11528.0,11528.0,951.0,10781.0,0.065,0.161,0.361,0.536,0.649,0.741,0.833,0.881,0.928,0.952,0.985,1.0,34584.0,34584.0,34584.0,0.775,0.259,1.0,0.009,0.0,0.009,1.0,1.0
orientdb,6,1000.0,11643.0,774.0,11396.0,11396.0,772.0,11236.0,0.0,0.176,0.429,0.618,0.73,0.798,0.832,0.857,0.924,0.963,0.986,0.986,34188.0,34189.276,34435.0,0.794,0.247,0.997,0.013,0.0,0.013,0.9974160206718347,0.9787855363737868
oryx,6,1000.0,2157.0,113.0,2157.0,2157.0,113.0,2154.0,0.001,0.081,0.319,0.469,0.664,0.735,0.832,0.885,0.92,0.929,0.956,0.991,6471.0,6471.0,6471.0,0.745,0.152,1.0,0.22,0.0,0.22,1.0,1.0
titan,6,1000.0,5312.0,149.0,5312.0,5312.0,149.0,5175.0,0.026,0.229,0.262,0.349,0.617,0.812,0.886,0.933,0.94,0.96,0.973,1.0,15936.0,15936.0,15936.0,0.74,0.123,1.0,0.161,0.0,0.161,1.0,1.0
